identifier	page
NCBITaxon:1004	taxa/bacteria/chitinophaga_sancti.html
NCBITaxon:1004149	taxa/bacteria/mesoflavibacter_zeaxanthinifaciens_s86.html
NCBITaxon:1004150	taxa/bacteria/photorhabdus_khanii.html
NCBITaxon:1004151	taxa/bacteria/photorhabdus_khanii_nc19.html
NCBITaxon:1004152	taxa/bacteria/mesomycoplasma_flocculare_atcc_27716.html
NCBITaxon:1004153	taxa/bacteria/escherichia_coli_aa86.html
NCBITaxon:1004156	taxa/bacteria/candidatus_brocadia_carolinensis.html
NCBITaxon:1004159	taxa/bacteria/photorhabdus_tasmaniensis.html
NCBITaxon:1004165	taxa/bacteria/photorhabdus_caribbeanensis.html
NCBITaxon:1004166	taxa/bacteria/photorhabdus_hainanensis.html
NCBITaxon:1004253	taxa/eukaryota/williopsis_mrakii.html
NCBITaxon:1004254	taxa/eukaryota/williopsis_subsufficiens.html
NCBITaxon:1004260	taxa/bacteria/capnocytophaga_catalasegens.html
NCBITaxon:1004261	taxa/bacteria/oceanobacillus_indicireducens.html
NCBITaxon:1004279	taxa/bacteria/mesorhizobium_muleiense.html
NCBITaxon:1004304	taxa/bacteria/hydrotalea_sandarakina.html
NCBITaxon:1004305	taxa/bacteria/aphanothece_stagnina.html
NCBITaxon:1004316	taxa/bacteria/vibrio_sonorensis.html
NCBITaxon:1004322	taxa/bacteria/vibrio_crosai.html
NCBITaxon:1004326	taxa/bacteria/vibrio_mexicanus.html
NCBITaxon:1004481	taxa/eukaryota/amanita_crenulata.html
NCBITaxon:1004583	taxa/bacteria/neoscardovia_arbecensis.html
NCBITaxon:100468	taxa/bacteria/schleiferilactobacillus_perolens.html
NCBITaxon:100469	taxa/bacteria/schaalia_canis.html
NCBITaxon:1004785	taxa/bacteria/alteromonas_macleodii_str_black_sea_11.html
NCBITaxon:1004786	taxa/bacteria/alteromonas_mediterranea_de1.html
NCBITaxon:1004787	taxa/bacteria/alteromonas_macleodii_str_balearic_sea_ad45.html
NCBITaxon:1004788	taxa/bacteria/alteromonas_macleodii_str_english_channel_673.html
NCBITaxon:100480	taxa/bacteria/cytophagales_bacterium_b6.html
NCBITaxon:1004836	taxa/bacteria/gluconacetobacter_sp_sxcc_1.html
NCBITaxon:1004901	taxa/bacteria/gordonia_iterans.html
NCBITaxon:1004951	taxa/bacteria/streptococcus_suis_st1.html
NCBITaxon:1004952	taxa/bacteria/streptococcus_suis_d12.html
NCBITaxon:1004953	taxa/bacteria/staphylococcus_aureus_subsp_aureus_mrsa_pr1.html
NCBITaxon:1004954	taxa/bacteria/brucella_suis_bv_1_str_s2.html
NCBITaxon:1004955	taxa/bacteria/brucella_melitensis_bv_1_str_m111.html
NCBITaxon:1004956	taxa/bacteria/brucella_melitensis_bv_1_str_m28_12.html
NCBITaxon:1004957	taxa/bacteria/brucella_melitensis_bv_1_str_m5.html
NCBITaxon:1005	taxa/bacteria/flexibacter_sp.html
NCBITaxon:1005039	taxa/bacteria/fimbriimonas_ginsengisoli.html
NCBITaxon:1005041	taxa/bacteria/streptococcus_suis_ss12.html
NCBITaxon:1005042	taxa/bacteria/streptococcus_suis_d9.html
NCBITaxon:1005043	taxa/bacteria/candidatus_regiella_insecticola_5_15.html
NCBITaxon:1005046	taxa/bacteria/haemophilus_ducreyi_atcc_33921.html
NCBITaxon:1005048	taxa/bacteria/collimonas_fungivorans_ter331.html
NCBITaxon:1005057	taxa/bacteria/buchnera_aphidicola_str_ua_uroleucon_ambrosiae.html
NCBITaxon:1005058	taxa/bacteria/gallibacterium_anatis_umn179.html
NCBITaxon:1005090	taxa/bacteria/buchnera_aphidicola_str_ak_acyrthosiphon_kondoi.html
NCBITaxon:1005394	taxa/bacteria/salmonella_enterica_subsp_enterica_serovar_oslo.html
NCBITaxon:1005395	taxa/bacteria/pseudomonas_bharatica_csv86.html
NCBITaxon:1005396	taxa/bacteria/escherichia_coli_88_1467.html
