source_strain_id	source_deposit_id	accession	reason	value
straininfo.strain:42817	straininfo.deposit:162102		conflicting_bacdive_reference_not_used	bacdive:137169; deposit matches kgmicrobe.strain:bacdive_14618
straininfo.strain:42874	straininfo.deposit:339522		conflicting_bacdive_reference_not_used	bacdive:9805; deposit matches kgmicrobe.strain:bacdive_4535
straininfo.strain:42952	straininfo.deposit:126936		conflicting_bacdive_reference_not_used	bacdive:170; deposit matches kgmicrobe.strain:bacdive_148612
straininfo.strain:43267	straininfo.deposit:692220		conflicting_bacdive_reference_not_used	bacdive:169138; deposit matches kgmicrobe.strain:bacdive_14127
straininfo.strain:43731	straininfo.deposit:138744		conflicting_bacdive_reference_not_used	bacdive:8172; deposit matches kgmicrobe.strain:bacdive_138092
straininfo.strain:43731	straininfo.deposit:152836		conflicting_bacdive_reference_not_used	bacdive:8172; deposit matches kgmicrobe.strain:bacdive_138092
straininfo.strain:43966	straininfo.deposit:303135		conflicting_bacdive_reference_not_used	bacdive:8525; deposit matches kgmicrobe.strain:bacdive_8524
straininfo.strain:43966	straininfo.deposit:331791		conflicting_bacdive_reference_not_used	bacdive:8525; deposit matches kgmicrobe.strain:bacdive_8524
straininfo.strain:43966	straininfo.deposit:900470		conflicting_bacdive_reference_not_used	bacdive:8525; deposit matches kgmicrobe.strain:bacdive_8524
straininfo.strain:44091	straininfo.deposit:118366		conflicting_bacdive_reference_not_used	bacdive:8498; deposit matches kgmicrobe.strain:bacdive_8497
straininfo.strain:44091	straininfo.deposit:169790		conflicting_bacdive_reference_not_used	bacdive:8498; deposit matches kgmicrobe.strain:bacdive_8497
straininfo.strain:44134	straininfo.deposit:303710		conflicting_bacdive_reference_not_used	bacdive:24493; deposit matches kgmicrobe.strain:bacdive_24351
straininfo.strain:44134	straininfo.deposit:690186		conflicting_bacdive_reference_not_used	bacdive:24493; deposit matches kgmicrobe.strain:bacdive_13730
straininfo.strain:44146	straininfo.deposit:332196		conflicting_bacdive_reference_not_used	bacdive:137332; deposit matches kgmicrobe.strain:bacdive_152850
straininfo.strain:44210	straininfo.deposit:55326		conflicting_bacdive_reference_not_used	bacdive:161127; deposit matches kgmicrobe.strain:bacdive_175365
straininfo.strain:44351	straininfo.deposit:119105		conflicting_bacdive_reference_not_used	bacdive:163232; deposit matches kgmicrobe.strain:bacdive_100632
straininfo.strain:44401	straininfo.deposit:144201		conflicting_bacdive_reference_not_used	bacdive:14490; deposit matches kgmicrobe.strain:bacdive_141499
straininfo.strain:44401	straininfo.deposit:144204		conflicting_bacdive_reference_not_used	bacdive:14490; deposit matches kgmicrobe.strain:bacdive_141499
straininfo.strain:44401	straininfo.deposit:144349		conflicting_bacdive_reference_not_used	bacdive:14490; deposit matches kgmicrobe.strain:bacdive_150191
straininfo.strain:44401	straininfo.deposit:231457		conflicting_bacdive_reference_not_used	bacdive:14490; deposit matches kgmicrobe.strain:bacdive_138486
straininfo.strain:44698	straininfo.deposit:691774		conflicting_bacdive_reference_not_used	bacdive:15491; deposit matches kgmicrobe.strain:bacdive_15817
straininfo.strain:45245	straininfo.deposit:121484		conflicting_bacdive_reference_not_used	bacdive:7830; deposit matches kgmicrobe.strain:bacdive_100175
straininfo.strain:45245	straininfo.deposit:121486		conflicting_bacdive_reference_not_used	bacdive:7830; deposit matches kgmicrobe.strain:bacdive_100175
straininfo.strain:45260	straininfo.deposit:138219		conflicting_bacdive_reference_not_used	bacdive:135260; deposit matches kgmicrobe.strain:bacdive_144431
straininfo.strain:4542	straininfo.deposit:214881		conflicting_bacdive_reference_not_used	bacdive:13024; deposit matches kgmicrobe.strain:bacdive_157479
straininfo.strain:4542	straininfo.deposit:53528		conflicting_bacdive_reference_not_used	bacdive:13024; deposit matches kgmicrobe.strain:bacdive_24420
straininfo.strain:45450	straininfo.deposit:122030		conflicting_bacdive_reference_not_used	bacdive:6076; deposit matches kgmicrobe.strain:bacdive_1119
straininfo.strain:45450	straininfo.deposit:122031		conflicting_bacdive_reference_not_used	bacdive:6076; deposit matches kgmicrobe.strain:bacdive_1119
straininfo.strain:45450	straininfo.deposit:691280		conflicting_bacdive_reference_not_used	bacdive:6076; deposit matches kgmicrobe.strain:bacdive_1119
straininfo.strain:45638	straininfo.deposit:178354		conflicting_bacdive_reference_not_used	bacdive:15513; deposit matches kgmicrobe.strain:bacdive_164943
straininfo.strain:45734	straininfo.deposit:691573		conflicting_bacdive_reference_not_used	bacdive:15233; deposit matches kgmicrobe.strain:bacdive_15832
straininfo.strain:45753	straininfo.deposit:55546		conflicting_bacdive_reference_not_used	bacdive:14904; deposit matches kgmicrobe.strain:bacdive_14908
