kind	id	reason
attested_taxon	NCBITaxon:1530046	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1530170	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1532	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:154109	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1545740	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1550033	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1551	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1552	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1559982	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1560	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1561223	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1564681	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1570328	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1572857	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:157733	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:158080	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1588753	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1606016	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1619949	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:162157	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:162160	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:163605	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1638645	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1646339	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:165807	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1662456	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1662457	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1662458	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1664276	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:166934	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:168810	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1691891	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1704088	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1705714	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1710701	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1712376	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1712377	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1712378	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1743172	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1752526	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1758367	not in pinned NCBI taxonomy; retained in source inventory
attested_taxon	NCBITaxon:1764550	not in pinned NCBI taxonomy; retained in source inventory
