lpsn_id	name	rank	authority	url	deprecated	status	validly_published	legitimate	is_correct_name	parent_lpsn_id	ncbitaxon_ids	gtdb_ids	type_strain_ids	synonym_of	publications	sequence_accessions
lpsn:793297	Tamilnaduibacter salinus	SPECIES	Verma et al. 2015	https://lpsn.dsmz.de/species/tamilnaduibacter-salinus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518800	NCBITaxon:1484056	GTDB:s__Tamilnaduibacter_salinus	kgmicrobe.strain:DSM-28688		PMID:26296662|doi:10.1099/ijsem.0.000401|doi:10.1099/ijsem.0.000745	INSDC:HG969252
lpsn:793298	Bacillus campisalis	SPECIES	Kumar et al. 2015	https://lpsn.dsmz.de/species/bacillus-campisalis	1	legitimate=True; validly published under the ICNP; synonym (and not recommended for medical use)	1	1	0	lpsn:515217			kgmicrobe.strain:DSM-28801	lpsn:7418	PMID:26296567|doi:10.1099/ijsem.0.000400|doi:10.1099/ijsem.0.000745	INSDC:AB859673
lpsn:793300	Bradyrhizobium subterraneum	SPECIES	Grönemeyer et al. 2015	https://lpsn.dsmz.de/species/bradyrhizobium-subterraneum	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516981	NCBITaxon:1549945		kgmicrobe.strain:DSM-100298|kgmicrobe.strain:LMG-28792		PMID:26198108|doi:10.1099/ijsem.0.000403|doi:10.1099/ijsem.0.000745	INSDC:KP308152
lpsn:793301	Halorussus amylolyticus	SPECIES	Yuan et al. 2015	https://lpsn.dsmz.de/species/halorussus-amylolyticus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518475	NCBITaxon:1126242	GTDB:s__Halorussus_amylolyticus	kgmicrobe.strain:JCM-18367		PMID:26228463|doi:10.1099/ijsem.0.000487|doi:10.1099/ijsem.0.000745	INSDC:KM368828
lpsn:793302	Methanocalculus alkaliphilus	SPECIES	Sorokin et al. 2015	https://lpsn.dsmz.de/species/methanocalculus-alkaliphilus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:517066	NCBITaxon:768730	GTDB:s__Methanocalculus_alkaliphilus	kgmicrobe.strain:DSM-24457		PMID:26228570|doi:10.1099/ijsem.0.000488|doi:10.1099/ijsem.0.000745	INSDC:HM053969
lpsn:793303	Methanosalsum natronophilum	SPECIES	Sorokin et al. 2015	https://lpsn.dsmz.de/species/methanosalsum-natronophilum	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516054	NCBITaxon:768733	GTDB:s__Methanosalsum_natronophilum	kgmicrobe.strain:DSM-24634|kgmicrobe.strain:NBRC-110091		PMID:26228570|doi:10.1099/ijsem.0.000488|doi:10.1099/ijsem.0.000745	INSDC:HM053965
lpsn:793304	Brevirhabdus pacifica	SPECIES	Wu et al. 2015 emend. Liu et al. 2017 emend. Hördt et al. 2020	https://lpsn.dsmz.de/species/brevirhabdus-pacifica	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518801	NCBITaxon:1267768	GTDB:s__Brevirhabdus_pacifica	kgmicrobe.strain:DSM-27767|kgmicrobe.strain:JCM-19489		PMID:26198580|doi:10.1099/ijsem.0.000469|doi:10.1099/ijsem.0.000745	INSDC:KC018457
lpsn:793305	Caldicoprobacter faecalis	SPECIES	(Winter et al. 1988) Bouanane-Darenfed et al. 2015	https://lpsn.dsmz.de/species/caldicoprobacter-faecalis	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:517937	NCBITaxon:937334		kgmicrobe.strain:DSM-20678|kgmicrobe.strain:JCM-30420		PMID:26297233|doi:10.1099/ijsem.0.000409|doi:10.1099/ijsem.0.000745	INSDC:FR749980
lpsn:793306	Sphingopyxis flava	SPECIES	Verma et al. 2015	https://lpsn.dsmz.de/species/sphingopyxis-flava	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516630	NCBITaxon:1507287	GTDB:s__Sphingopyxis_flava	kgmicrobe.strain:DSM-28472		PMID:26219279|doi:10.1099/ijsem.0.000482|doi:10.1099/ijsem.0.000745	INSDC:KJ726770
lpsn:793307	Deinococcus metalli	SPECIES	Feng et al. 2015	https://lpsn.dsmz.de/species/deinococcus-metalli	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515482	NCBITaxon:1141878	GTDB:s__Deinococcus_metalli	kgmicrobe.strain:DSM-27521		PMID:26297659|doi:10.1099/ijsem.0.000439|doi:10.1099/ijsem.0.000745	INSDC:MT760258
lpsn:793308	Dysgonomonas alginatilytica	SPECIES	Kita et al. 2015	https://lpsn.dsmz.de/species/dysgonomonas-alginatilytica	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:517223			kgmicrobe.strain:DSM-100214|kgmicrobe.strain:JCM-38120		PMID:26297040|doi:10.1099/ijsem.0.000459|doi:10.1099/ijsem.0.000745	INSDC:LC021528
lpsn:793309	Geodermatophilus sabuli	SPECIES	Hezbri et al. 2015 emend. Montero-Calasanz et al. 2017	https://lpsn.dsmz.de/species/geodermatophilus-sabuli	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515687	NCBITaxon:1564158	GTDB:s__Geodermatophilus_sabuli	kgmicrobe.strain:DSM-46844		PMID:26297235|doi:10.1099/ijsem.0.000422|doi:10.1099/ijsem.0.000745	INSDC:LN626269
lpsn:793310	Lysinibacter cavernae	SPECIES	Tuo et al. 2015	https://lpsn.dsmz.de/species/lysinibacter-cavernae	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518802	NCBITaxon:1640652	GTDB:s__Lysinibacter_cavernae	kgmicrobe.strain:DSM-27960		PMID:26296577|doi:10.1099/ijsem.0.000415|doi:10.1099/ijsem.0.000745	INSDC:KP411613
lpsn:793311	Algoriphagus aestuarii	SPECIES	Jung et al. 2015	https://lpsn.dsmz.de/species/algoriphagus-aestuarii	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515073	NCBITaxon:1634955	GTDB:s__Algoriphagus_aestuarii	kgmicrobe.strain:KCTC-42199|kgmicrobe.strain:NBRC-110552		PMID:26297134|doi:10.1099/ijsem.0.000434|doi:10.1099/ijsem.0.000745	INSDC:KR012506
lpsn:793312	Bacillus glycinifermentans	SPECIES	Kim et al. 2015	https://lpsn.dsmz.de/species/bacillus-glycinifermentans	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515217	NCBITaxon:1664069	GTDB:s__Bacillus_glycinifermentans	kgmicrobe.strain:NRRL-B-65291		PMID:26297378|doi:10.1099/ijsem.0.000462|doi:10.1099/ijsem.0.000745	INSDC:KT005408
lpsn:793313	Bacillus paralicheniformis	SPECIES	Dunlap et al. 2015	https://lpsn.dsmz.de/species/bacillus-paralicheniformis	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515217	NCBITaxon:1648923	GTDB:s__Bacillus_paralicheniformis	kgmicrobe.strain:NRRL-B-65293		PMID:26296568|doi:10.1099/ijsem.0.000441|doi:10.1099/ijsem.0.000745	INSDC:KY694465
lpsn:793314	Domibacillus tundrae	SPECIES	Gyeong et al. 2015	https://lpsn.dsmz.de/species/domibacillus-tundrae	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518368	NCBITaxon:1587527	GTDB:s__Domibacillus_tundrae	kgmicrobe.strain:DSM-29572|kgmicrobe.strain:JCM-30371|kgmicrobe.strain:KCTC-33549		PMID:26296675|doi:10.1099/ijsem.0.000429|doi:10.1099/ijsem.0.000745	INSDC:KM657429
