old_taxon_id	current_taxon_id
NCBITaxon:1006646	NCBITaxon:154667
NCBITaxon:1006650	NCBITaxon:38192
NCBITaxon:1006665	NCBITaxon:2594666
NCBITaxon:1006666	NCBITaxon:2594667
NCBITaxon:100667	NCBITaxon:146937
NCBITaxon:1006676	NCBITaxon:3053339
NCBITaxon:1006715	NCBITaxon:1137951
NCBITaxon:100674	NCBITaxon:587885
NCBITaxon:1006790	NCBITaxon:3295868
NCBITaxon:1006794	NCBITaxon:3290368
NCBITaxon:1006802	NCBITaxon:2931309
NCBITaxon:1006804	NCBITaxon:2931320
NCBITaxon:1006805	NCBITaxon:3292342
NCBITaxon:1006823	NCBITaxon:283575
NCBITaxon:1006844	NCBITaxon:3290371
NCBITaxon:1006895	NCBITaxon:931529
NCBITaxon:1006896	NCBITaxon:931529
NCBITaxon:1006897	NCBITaxon:931529
NCBITaxon:1006898	NCBITaxon:931529
NCBITaxon:1006944	NCBITaxon:1441716
NCBITaxon:1006989	NCBITaxon:1070740
NCBITaxon:1006990	NCBITaxon:1070801
NCBITaxon:1006991	NCBITaxon:1071025
NCBITaxon:1006992	NCBITaxon:1070690
NCBITaxon:1006993	NCBITaxon:1035696
NCBITaxon:1006994	NCBITaxon:1070683
NCBITaxon:1006995	NCBITaxon:1070829
NCBITaxon:1006996	NCBITaxon:1069546
NCBITaxon:1006997	NCBITaxon:1070812
NCBITaxon:1006998	NCBITaxon:1070527
NCBITaxon:1006999	NCBITaxon:1071023
NCBITaxon:1007000	NCBITaxon:1069548
NCBITaxon:1007001	NCBITaxon:1070684
NCBITaxon:1007002	NCBITaxon:1070697
NCBITaxon:1007003	NCBITaxon:1070675
NCBITaxon:1007004	NCBITaxon:1035702
NCBITaxon:1007005	NCBITaxon:1070826
NCBITaxon:1007006	NCBITaxon:1070531
NCBITaxon:1007007	NCBITaxon:1069547
NCBITaxon:1007008	NCBITaxon:1070529
NCBITaxon:1007009	NCBITaxon:1070676
NCBITaxon:1007010	NCBITaxon:1070530
NCBITaxon:1007011	NCBITaxon:1070828
NCBITaxon:1007012	NCBITaxon:1070832
NCBITaxon:1007013	NCBITaxon:1070810
NCBITaxon:1007014	NCBITaxon:1070813
NCBITaxon:1007015	NCBITaxon:1071029
NCBITaxon:1007016	NCBITaxon:1071024
NCBITaxon:1007017	NCBITaxon:1070830
NCBITaxon:1007018	NCBITaxon:1070689
NCBITaxon:1007020	NCBITaxon:1070833
NCBITaxon:1007021	NCBITaxon:1070688
NCBITaxon:1007022	NCBITaxon:1070802
NCBITaxon:1007023	NCBITaxon:1070836
NCBITaxon:1007024	NCBITaxon:1070831
NCBITaxon:1007025	NCBITaxon:1070827
NCBITaxon:1007026	NCBITaxon:1035687
NCBITaxon:1007027	NCBITaxon:1070687
NCBITaxon:1007028	NCBITaxon:1070682
NCBITaxon:1007029	NCBITaxon:1071027
NCBITaxon:1007030	NCBITaxon:1068955
NCBITaxon:1007032	NCBITaxon:1007031
NCBITaxon:1007033	NCBITaxon:1007031
NCBITaxon:1007046	NCBITaxon:2496499
NCBITaxon:10071	NCBITaxon:89096
NCBITaxon:1007100	NCBITaxon:1007099
NCBITaxon:1007101	NCBITaxon:1007099
NCBITaxon:1007317	NCBITaxon:369698
NCBITaxon:1007324	NCBITaxon:48387
NCBITaxon:1007340	NCBITaxon:2080287
NCBITaxon:1007345	NCBITaxon:505414
NCBITaxon:1007469	NCBITaxon:595932
NCBITaxon:1007470	NCBITaxon:595934
NCBITaxon:1007471	NCBITaxon:595925
NCBITaxon:1007472	NCBITaxon:595926
NCBITaxon:1007473	NCBITaxon:595927
NCBITaxon:1007474	NCBITaxon:595928
NCBITaxon:1007487	NCBITaxon:986321
NCBITaxon:1007542	NCBITaxon:946081
NCBITaxon:1007543	NCBITaxon:943819
NCBITaxon:1007545	NCBITaxon:943825
NCBITaxon:1007546	NCBITaxon:943828
NCBITaxon:1007547	NCBITaxon:945869
NCBITaxon:1007548	NCBITaxon:943829
NCBITaxon:1007549	NCBITaxon:945878
NCBITaxon:1007550	NCBITaxon:943833
NCBITaxon:1007552	NCBITaxon:945870
