taxon_id	assertion_count
NCBITaxon:1033744	4
NCBITaxon:1033802	2
NCBITaxon:1033806	2
NCBITaxon:1033810	2
NCBITaxon:1033813	5
NCBITaxon:1033837	4
NCBITaxon:1033846	14
NCBITaxon:1033854	7
NCBITaxon:1033983	1
NCBITaxon:1033991	7
NCBITaxon:1033992	3
NCBITaxon:1033993	6
NCBITaxon:1033994	4
NCBITaxon:1034	3
NCBITaxon:1034015	2
NCBITaxon:1034345	4
NCBITaxon:1034346	5
NCBITaxon:1034347	5
NCBITaxon:103441	1
NCBITaxon:1034471	6
NCBITaxon:1034769	1
NCBITaxon:1034807	5
NCBITaxon:1034808	1
NCBITaxon:1034809	5
NCBITaxon:1034836	4
NCBITaxon:1034943	4
NCBITaxon:1034944	3
NCBITaxon:1035	4
NCBITaxon:1035116	1
NCBITaxon:1035117	1
NCBITaxon:1035120	5
NCBITaxon:1035184	1
NCBITaxon:1035185	1
NCBITaxon:1035187	1
NCBITaxon:1035188	1
NCBITaxon:1035189	1
NCBITaxon:1035190	1
NCBITaxon:1035191	3
NCBITaxon:1035193	5
NCBITaxon:1035194	1
NCBITaxon:1035195	1
NCBITaxon:1035196	5
NCBITaxon:1035197	2
NCBITaxon:1035308	4
NCBITaxon:1035377	2
NCBITaxon:1035707	12
NCBITaxon:1035817	4
NCBITaxon:1035839	4
NCBITaxon:1035890	20
NCBITaxon:1036133	9
NCBITaxon:1036171	4
NCBITaxon:1036172	5
NCBITaxon:1036177	1
NCBITaxon:1036179	1
NCBITaxon:103618	3
NCBITaxon:1036180	18
NCBITaxon:1036181	13
NCBITaxon:1036182	16
NCBITaxon:103621	7
NCBITaxon:1036672	3
NCBITaxon:1036673	3
NCBITaxon:1036674	3
NCBITaxon:1036677	7
NCBITaxon:1036678	9
NCBITaxon:1036679	8
NCBITaxon:1036735	5
NCBITaxon:1036738	1
NCBITaxon:1036743	1
NCBITaxon:1036778	4
NCBITaxon:1036779	5
NCBITaxon:1036780	3
NCBITaxon:103690	7
NCBITaxon:103725	1
NCBITaxon:103728	1
NCBITaxon:103729	1
NCBITaxon:103731	5
NCBITaxon:103732	3
NCBITaxon:1037320	20
NCBITaxon:103733	1
NCBITaxon:103734	2
NCBITaxon:1037362	2
NCBITaxon:1037377	8
NCBITaxon:1037382	13
NCBITaxon:1037409	6
NCBITaxon:1037410	1
NCBITaxon:1037411	4
NCBITaxon:1037889	1
NCBITaxon:1037890	5
NCBITaxon:1037908	5
NCBITaxon:1037911	4
NCBITaxon:1037915	4
NCBITaxon:103796	1
NCBITaxon:103808	1
NCBITaxon:103810	4
NCBITaxon:103815	2
NCBITaxon:103816	4
NCBITaxon:103817	4
NCBITaxon:103836	4
NCBITaxon:103837	1
NCBITaxon:103838	2
NCBITaxon:103855	4
NCBITaxon:1038693	16
NCBITaxon:1038844	5
NCBITaxon:1038845	17
NCBITaxon:1038856	8
NCBITaxon:1038858	6
NCBITaxon:1038859	7
NCBITaxon:1038860	7
NCBITaxon:1038861	6
NCBITaxon:1038862	7
NCBITaxon:1038863	7
NCBITaxon:1038864	6
NCBITaxon:1038866	7
NCBITaxon:1038867	8
NCBITaxon:1038869	7
NCBITaxon:1038870	7
NCBITaxon:1038904	11
NCBITaxon:103891	2
NCBITaxon:103892	3
NCBITaxon:1038921	5
NCBITaxon:1038922	4
NCBITaxon:1038923	4
NCBITaxon:1038924	4
NCBITaxon:1038927	3
NCBITaxon:1038928	14
NCBITaxon:1038929	1
NCBITaxon:104	3
NCBITaxon:1040638	5
NCBITaxon:104087	4
NCBITaxon:1040963	2
NCBITaxon:1040964	4
NCBITaxon:104097	1
NCBITaxon:1040978	7
NCBITaxon:1040979	7
NCBITaxon:104098	1
NCBITaxon:1040980	6
NCBITaxon:1040981	7
NCBITaxon:1040982	6
NCBITaxon:1040983	6
NCBITaxon:1040984	7
NCBITaxon:1040985	7
NCBITaxon:1040986	7
NCBITaxon:1040987	7
NCBITaxon:1040988	6
NCBITaxon:1040989	6
NCBITaxon:104099	1
NCBITaxon:104100	1
NCBITaxon:104101	1
NCBITaxon:104102	1
NCBITaxon:1041138	6
NCBITaxon:1041139	6
NCBITaxon:1041140	6
NCBITaxon:1041141	6
NCBITaxon:1041142	6
NCBITaxon:1041143	6
NCBITaxon:1041144	6
NCBITaxon:1041145	6
NCBITaxon:1041146	6
NCBITaxon:1041147	6
NCBITaxon:1041148	6
NCBITaxon:1041149	6
NCBITaxon:1041150	6
NCBITaxon:1041151	6
NCBITaxon:1041152	6
NCBITaxon:1041153	6
NCBITaxon:1041154	6
NCBITaxon:1041155	6
NCBITaxon:1041156	6
NCBITaxon:1041157	6
NCBITaxon:1041159	7
NCBITaxon:1041504	1
NCBITaxon:1041510	1
NCBITaxon:1041514	3
NCBITaxon:1041520	1
NCBITaxon:1041521	4
NCBITaxon:1041522	1
NCBITaxon:1041641	20
NCBITaxon:104176	4
NCBITaxon:1041826	5
NCBITaxon:1041930	8
NCBITaxon:1041939	1
NCBITaxon:104205	2
NCBITaxon:104206	2
NCBITaxon:1042156	2
NCBITaxon:1042160	1
NCBITaxon:1042163	4
NCBITaxon:1042209	6
NCBITaxon:1042326	1
NCBITaxon:1042375	1
NCBITaxon:1042376	2
NCBITaxon:1042377	1
NCBITaxon:1042378	1
NCBITaxon:1042399	1
NCBITaxon:1042400	1
NCBITaxon:1042402	1
NCBITaxon:1042403	4
NCBITaxon:1042404	1
NCBITaxon:1042417	3
NCBITaxon:1042418	1
NCBITaxon:104268	2
NCBITaxon:104269	2
NCBITaxon:104270	3
NCBITaxon:1042803	1
NCBITaxon:1042804	5
NCBITaxon:1042876	5
NCBITaxon:1042877	5
NCBITaxon:1042878	4
NCBITaxon:1043168	7
NCBITaxon:1043205	1
NCBITaxon:1043206	2
NCBITaxon:104336	2
NCBITaxon:1043493	19
NCBITaxon:1044	4
NCBITaxon:1044999	1
NCBITaxon:1045004	2
NCBITaxon:1045009	3
NCBITaxon:1045010	5
NCBITaxon:1045012	1
NCBITaxon:1045501	10
NCBITaxon:1045558	6
NCBITaxon:1045764	7
NCBITaxon:1045773	24
NCBITaxon:1045774	24
NCBITaxon:1045775	19
NCBITaxon:1045776	13
NCBITaxon:1045854	4
NCBITaxon:1045855	1
NCBITaxon:1045856	5
NCBITaxon:1045857	5
NCBITaxon:1045858	2
NCBITaxon:104608	1
NCBITaxon:104609	6
NCBITaxon:1046117	4
NCBITaxon:1046128	1
NCBITaxon:104623	3
NCBITaxon:1046240	5
NCBITaxon:104628	7
NCBITaxon:1046555	14
NCBITaxon:1046556	10
NCBITaxon:1046575	5
NCBITaxon:1046576	5
NCBITaxon:1046577	5
NCBITaxon:1046593	1
NCBITaxon:1046596	5
NCBITaxon:1046599	1
NCBITaxon:104662	4
NCBITaxon:1046624	5
NCBITaxon:1046625	6
NCBITaxon:1046626	4
NCBITaxon:1046627	5
NCBITaxon:1046629	5
NCBITaxon:104663	3
NCBITaxon:1046632	1
NCBITaxon:1046714	1
NCBITaxon:1047013	2
NCBITaxon:1048	3
NCBITaxon:1048205	1
NCBITaxon:1048221	18
NCBITaxon:1048245	5
NCBITaxon:1048254	1
NCBITaxon:1048256	1
NCBITaxon:1048259	1
NCBITaxon:1048260	1
NCBITaxon:1048261	1
NCBITaxon:1048262	5
NCBITaxon:1048264	1
NCBITaxon:1048265	1
NCBITaxon:1048266	1
NCBITaxon:1048331	21
NCBITaxon:1048332	5
NCBITaxon:1048334	1
NCBITaxon:1048335	1
NCBITaxon:1048339	2
NCBITaxon:1048340	2
NCBITaxon:1048357	9
NCBITaxon:1048380	6
NCBITaxon:1048394	11
NCBITaxon:1048396	10
NCBITaxon:1048680	1
NCBITaxon:1048681	1
NCBITaxon:1048689	5
NCBITaxon:1048753	11
NCBITaxon:1048758	2
NCBITaxon:1048765	5
NCBITaxon:1048808	1
NCBITaxon:1048830	1
NCBITaxon:1048834	5
NCBITaxon:1048983	1
NCBITaxon:1049	6
NCBITaxon:1049199	6
NCBITaxon:104955	1
NCBITaxon:1049563	1
NCBITaxon:1049564	1
NCBITaxon:1049565	1
NCBITaxon:1049759	1
NCBITaxon:1049762	1
NCBITaxon:1049765	1
NCBITaxon:1049766	1
NCBITaxon:1049767	1
NCBITaxon:1049773	1
NCBITaxon:1049776	1
NCBITaxon:1049780	1
NCBITaxon:1049781	1
NCBITaxon:1049782	1
NCBITaxon:1049786	1
NCBITaxon:1049789	1
NCBITaxon:1049790	1
NCBITaxon:1049795	1
NCBITaxon:1049801	1
NCBITaxon:1049802	1
NCBITaxon:1049803	1
NCBITaxon:1049804	1
NCBITaxon:1049805	1
NCBITaxon:1049806	1
NCBITaxon:1049807	1
NCBITaxon:1049814	1
NCBITaxon:1049815	1
NCBITaxon:1049819	1
NCBITaxon:1049820	1
NCBITaxon:1049821	1
NCBITaxon:1049902	1
NCBITaxon:1049903	1
NCBITaxon:1049904	1
NCBITaxon:1049905	1
NCBITaxon:1049906	1
NCBITaxon:1049907	1
NCBITaxon:1049908	1
NCBITaxon:1049909	1
NCBITaxon:1049910	1
NCBITaxon:1049911	1
NCBITaxon:1049912	1
NCBITaxon:1049913	1
NCBITaxon:1049920	1
NCBITaxon:1049921	1
NCBITaxon:1049922	1
NCBITaxon:1049923	1
NCBITaxon:1049924	1
