strain_id	bacdive_id	designation	taxon_ids	lpsn_ids	culture_collection_ids	medium_count
kgmicrobe.strain:bacdive_59	59	7950	NCBITaxon:1071	lpsn:780492	kgmicrobe.strain:ATCC-35887|kgmicrobe.strain:CIP-107835|kgmicrobe.strain:DSM-161|kgmicrobe.strain:Pfennig-7950	0
kgmicrobe.strain:bacdive_60	60		NCBITaxon:35813	lpsn:780582	kgmicrobe.strain:DSM-8511|kgmicrobe.strain:RB-3	0
kgmicrobe.strain:bacdive_61	61	SHET	NCBITaxon:455361	lpsn:787089	kgmicrobe.strain:DSM-19979|kgmicrobe.strain:VKM-B-2453	0
kgmicrobe.strain:bacdive_62	62	H-8	NCBITaxon:1123072	lpsn:780602	kgmicrobe.strain:ATCC-BAA-385|kgmicrobe.strain:DSM-14296	0
kgmicrobe.strain:bacdive_63	63	S-877	NCBITaxon:1123227	lpsn:780627	kgmicrobe.strain:AJ-13480|kgmicrobe.strain:DSM-15669|kgmicrobe.strain:JCM-12116	0
kgmicrobe.strain:bacdive_64	64		NCBITaxon:94	lpsn:67643	kgmicrobe.strain:ATCC-43930|kgmicrobe.strain:AUCM-B-1137|kgmicrobe.strain:BKM-B-1137|kgmicrobe.strain:DSM-3698|kgmicrobe.strain:DSM-5900|kgmicrobe.strain:VKM-B-1137	0
kgmicrobe.strain:bacdive_65	65		NCBITaxon:1123295	lpsn:67644	kgmicrobe.strain:ATCC-43931|kgmicrobe.strain:AUCM-B-1552|kgmicrobe.strain:BKM-B-1552|kgmicrobe.strain:DSM-3699|kgmicrobe.strain:DSM-5901|kgmicrobe.strain:VKM-B-1552	0
kgmicrobe.strain:bacdive_66	66	Z-1155	NCBITaxon:1264899	lpsn:783206	kgmicrobe.strain:ATCC-51430|kgmicrobe.strain:CCUG-15334|kgmicrobe.strain:DSM-1231|kgmicrobe.strain:LMG-5821|kgmicrobe.strain:LMG-8357	0
kgmicrobe.strain:bacdive_67	67	HS-AP3	NCBITaxon:50715	lpsn:783272	kgmicrobe.strain:DSM-16009|kgmicrobe.strain:JCM-10600	0
kgmicrobe.strain:bacdive_68	68	170/96	NCBITaxon:198093	lpsn:782395	kgmicrobe.strain:CCUG-55703|kgmicrobe.strain:CIP-107418|kgmicrobe.strain:DSM-14915	0
kgmicrobe.strain:bacdive_69	69	173/96	NCBITaxon:198092	lpsn:778372	kgmicrobe.strain:CIP-107419|kgmicrobe.strain:DSM-14916|kgmicrobe.strain:UCCCB4	0
kgmicrobe.strain:bacdive_70	70	ES-21	NCBITaxon:207340	lpsn:784827	kgmicrobe.strain:DSM-30755	0
kgmicrobe.strain:bacdive_71	71	TH-G33	NCBITaxon:1123061	lpsn:26677	kgmicrobe.strain:CGMCC-1.3617|kgmicrobe.strain:CIP-109168|kgmicrobe.strain:DSM-19439|kgmicrobe.strain:JCM-13283	0
kgmicrobe.strain:bacdive_72	72	TR53	NCBITaxon:373043	lpsn:26633	kgmicrobe.strain:CCM-7358|kgmicrobe.strain:CECT-7131|kgmicrobe.strain:CIP-109393|kgmicrobe.strain:DSM-19438|kgmicrobe.strain:JCM-13556|kgmicrobe.strain:NCIMB-14503	0
kgmicrobe.strain:bacdive_73	73		NCBITaxon:1123064	lpsn:57242	kgmicrobe.strain:CCM-7468|kgmicrobe.strain:CPCC-100056|kgmicrobe.strain:DSM-19362|kgmicrobe.strain:KCTC-22045|kgmicrobe.strain:UCCCB25	0
kgmicrobe.strain:bacdive_74	74	ES2-7a2a	NCBITaxon:1869190		kgmicrobe.strain:DSM-30594	0
kgmicrobe.strain:bacdive_75	75	HS-69	NCBITaxon:1123062	lpsn:26680	kgmicrobe.strain:DSM-19981|kgmicrobe.strain:JCM-15034|kgmicrobe.strain:KCTC-22213	0
kgmicrobe.strain:bacdive_76	76	5420S-30	NCBITaxon:1123060	lpsn:57237	kgmicrobe.strain:CIP-110193|kgmicrobe.strain:DSM-19363|kgmicrobe.strain:KACC-12521|kgmicrobe.strain:UCCCB24	0
kgmicrobe.strain:bacdive_77	77	N75	NCBITaxon:693023	lpsn:57240	kgmicrobe.strain:CIP-110074|kgmicrobe.strain:DSM-25268|kgmicrobe.strain:LMG-25481|kgmicrobe.strain:UCCCB34	0
kgmicrobe.strain:bacdive_78	78	N75	NCBITaxon:693023	lpsn:57240	kgmicrobe.strain:CIP-110074|kgmicrobe.strain:DSM-25622|kgmicrobe.strain:LMG-25481	0
kgmicrobe.strain:bacdive_79	79	Y008	NCBITaxon:209650	lpsn:785242	kgmicrobe.strain:DSM-16953	0
kgmicrobe.strain:bacdive_80	80	CGDNIH1	NCBITaxon:364410	lpsn:785669	kgmicrobe.strain:ATCC-BAA-1260|kgmicrobe.strain:DSM-17861	0
kgmicrobe.strain:bacdive_81	81	WM1	NCBITaxon:512382	lpsn:787097	kgmicrobe.strain:DSM-19999|kgmicrobe.strain:VKM-B-2488	0
kgmicrobe.strain:bacdive_82	82	TPB606	NCBITaxon:512383	lpsn:787098	kgmicrobe.strain:DSM-21000|kgmicrobe.strain:VKM-B-2487	0
kgmicrobe.strain:bacdive_83	83	21	NCBITaxon:940283	lpsn:789887	kgmicrobe.strain:ATCC-51845|kgmicrobe.strain:BCC-36446|kgmicrobe.strain:BCRC-17053|kgmicrobe.strain:DSM-6160|kgmicrobe.strain:JCM-16935|kgmicrobe.strain:LMG-18724|kgmicrobe.strain:LMG-18890	0
kgmicrobe.strain:bacdive_84	84	28	NCBITaxon:33995	lpsn:789887	kgmicrobe.strain:DSM-6161	0
