sample_id	reason
biosample:SAMEA3400784	assembly_unavailable
biosample:SAMEA3403055	assembly_unavailable
biosample:SAMEA3443780	assembly_unavailable
biosample:SAMEA3446331	assembly_unavailable
biosample:SAMEA3446340	assembly_unavailable
biosample:SAMEA3446345	assembly_unavailable
biosample:SAMEA3446347	assembly_unavailable
biosample:SAMEA3468862	assembly_unavailable
biosample:SAMEA3491693	assembly_unavailable
biosample:SAMEA3492660	assembly_unavailable
biosample:SAMEA3499055	assembly_unavailable
biosample:SAMEA3504572	assembly_unavailable
biosample:SAMEA3504593	assembly_unavailable
biosample:SAMEA3505360	assembly_unavailable
biosample:SAMEA3505362	assembly_unavailable
biosample:SAMEA3512674	assembly_unavailable
biosample:SAMEA3517999	assembly_unavailable
biosample:SAMEA3518004	assembly_unavailable
biosample:SAMEA3518014	assembly_unavailable
biosample:SAMEA3518015	assembly_unavailable
biosample:SAMEA3518016	assembly_unavailable
biosample:SAMEA3518017	assembly_unavailable
biosample:SAMEA3518019	assembly_unavailable
biosample:SAMEA3518022	assembly_unavailable
biosample:SAMEA3529259	assembly_unavailable
biosample:SAMEA3529272	assembly_unavailable
biosample:SAMEA3539700	assembly_unavailable
biosample:SAMEA3539705	assembly_unavailable
biosample:SAMEA3539706	assembly_unavailable
biosample:SAMEA3539708	assembly_unavailable
biosample:SAMEA3539712	assembly_unavailable
biosample:SAMEA3539715	assembly_unavailable
biosample:SAMEA3542440	assembly_unavailable
biosample:SAMEA3572419	assembly_unavailable
biosample:SAMEA3572441	assembly_unavailable
biosample:SAMEA3594362	assembly_unavailable
biosample:SAMEA3597580	assembly_unavailable
biosample:SAMEA3597588	assembly_unavailable
biosample:SAMEA3597595	assembly_unavailable
biosample:SAMEA3614262	assembly_unavailable
biosample:SAMEA3614264	assembly_unavailable
biosample:SAMEA3614266	assembly_unavailable
biosample:SAMEA3614267	assembly_unavailable
biosample:SAMEA3614276	assembly_unavailable
biosample:SAMEA3614278	assembly_unavailable
biosample:SAMEA3632058	assembly_unavailable
biosample:SAMEA3632063	assembly_unavailable
biosample:SAMEA3643313	assembly_unavailable
biosample:SAMEA3643314	assembly_unavailable
biosample:SAMEA3643315	assembly_unavailable
biosample:SAMEA3643316	assembly_unavailable
biosample:SAMEA3643317	assembly_unavailable
biosample:SAMEA3643318	assembly_unavailable
biosample:SAMEA3643319	assembly_unavailable
biosample:SAMEA3643322	assembly_unavailable
biosample:SAMEA3643323	assembly_unavailable
biosample:SAMEA3643324	assembly_unavailable
biosample:SAMEA3643325	assembly_unavailable
biosample:SAMEA3643326	assembly_unavailable
biosample:SAMEA3643327	assembly_unavailable
biosample:SAMEA3649021	assembly_unavailable
biosample:SAMEA3649022	assembly_unavailable
biosample:SAMEA3649023	assembly_unavailable
biosample:SAMEA3649024	assembly_unavailable
biosample:SAMEA3649025	assembly_unavailable
biosample:SAMEA3649026	assembly_unavailable
biosample:SAMEA3649027	assembly_unavailable
biosample:SAMEA3649036	assembly_unavailable
biosample:SAMEA3649037	assembly_unavailable
biosample:SAMEA3649040	assembly_unavailable
biosample:SAMEA3662925	assembly_unavailable
biosample:SAMEA3662933	assembly_unavailable
biosample:SAMEA3662936	assembly_unavailable
